Author,Title,"Read? (y=yes, n=not going to, g=gave up)",Category,Read more by author?,I'm in it,Signed or Collectible,Comment
Paul Gillin,Secrets of Social Media Marketing,,,,,,
Paul Gillin and Greg Gianforte,Attack of the Customers,,,,,,
Paul Johnson,A History of Christianity,,,,,,
Paul Johnson,A History of the American People,y,,,,,
Paul Johnson,Modern Times: A History of the World from the 1920s to the 1980s,y,,,,,
Paul Johnson,The History of the Jews,y,,,,,
Paul Neilan,Apathy and other Small Victories,y,,,,,
Pete Blackshaw,"Satisfied Customers Tell 3 Friends, Angry Customers Tell 3,000",,,,,,
Peter Bently,Why Shit Happens,,,,,,
Peter Drucker,Managing the Non-Profit Organization,,,,,,
Peter Drucker,The Daily Drucker,y,,,,,
Peter F. Hamilton,Fallen Dragon,y,,,,,
Peter F. Hamilton,Pandora's Star,g,,,,,
Peter F. Hamilton,The Dreaming Void,y,,,,,
Peter F. Hamilton,The Evolutionary Void,y,,,,,
Peter F. Hamilton,The Great North Road,y,,,,,
Peter F. Hamilton,The Mandel Files,y,,,,,
Peter F. Hamilton,"The Mandel Files, Vol 2",y,,,,,
Peter F. Hamilton,The Naked God,y,,,,,
Peter F. Hamilton,The Neutronium Alchemist,y,,,,,
Peter F. Hamilton,The Reality Disfunction,y,,,,,
Peter F. Hamilton,The Temporal Void,y,,,,,
Peter Mayle,Where Do I Come From,y,,,,,
Peter Merholtz,Subject to Change,,,,,,
Peter Sis,Starry Messenger,y,,,,,
Peter Sis,The Tree of Life,y,,,,,
Phil Dusenberry,Then We Set His Hair On Fire,g,,,,,
Philip Enquist,Pocketful of Watercolors,y,,,,,
Philip K Dick,Selected Stories,y,,,,,
Philip K. Dick,Do Androids Dream of Electric Sheep?,,,,,,
Philip K. Dick,The Man in the High Castle,,,,,,
Philip K. Dick,The Philip K. Dick MEGAPACK ®: 15 Classic Science Fiction..,,,,,,
Philip K. Dick,The Second Philip K. Dick MEGAPACK ®: 13 Fantastic Stories,,,,,,
Philip K. Dick,Ubik,y,,,,,
Philip Roth,The Plot Against America,y,,,,,
Phillip K. Dick,Selected Stories of Philip K. Dick,,,,,,
Piers Anthony,Vicinity Cluster,,,,,,
Plummer,The Online Advertising Playbook,,,,,,
Po Bronson,,,,,,,
Ramaz Naam,Nexus,y,,,,,
Ramez Naam,Apex: Nexus Trilogy Book 3 (Nexus Arc),,,,,,
Ramez Naam,Crux (The Nexus Trilogy Book 2),,,,,,
Randy Browning and Sameer Kumar,To the Max,n,,,,,
Randy Pausch,The Last Lecture,,,,,,
Ray Bradbury,Farenheit 451,,,,,,
Ray Bradbury,,,,,,,
Reader's Digest ,Fight Back and Win,y,,,,,
Reading folder on hard drive,,,,,,,
Reamde,Neal Stephenson,y,,,,,
Rebecca L. Spang,The Invention of the Restaurant: Paris and Modern Gastronomic Culture,,,,,,
Regis McKenna,Real Time,y,,,,,
Rich Kaarlgard,Life 2.0,y,,,,,
Rich Mintzer,The Everything Investing Book,,,,,,
Richard Branson,Losing My Virginity,y,,,,,
Richard Feymann,The Meaning of it All,y,,,,,
Richard Florida ,Who's Your City,n,,,,,
Richard K.  Morgan,Altered Carbon,y,,,,,
Richard K.  Morgan,Broken Angels,y,,,,,
Richard K.  Morgan,Market Forces,y,,,,,
Richard K.  Morgan,The Steel Remains,y,,,,,
Richard K.  Morgan,Thirteen,y,,,,,
Richard K.  Morgan,Woken Furies,y,,,,,
Richard Laermer,Full Frontal PR,,,,,,
Richard Laermer,Punk Marketing,,,,,,
Richard Lambert,Financial Literacy for Managers: Finance and Accounting for Better Decision-Making (Wharton Executive Essentials),,,,,,
Richard Millington,Buzzing Communities,,,,,,
Richard Ownen & Laura Brooks,Answering the Ultimate Question,,,,,,
Richard Paul Russo,Carlucci,y,,,,,
Richard Russo,Straight Man,y,,,,,
Richard Saul Wurman,Information Anxiety,,,,,,
Richard Thieme,A Richard Thieme Reader: Volume 2: Fantastic Stories,,,,,,
Richard Thieme,A Richard Thieme Reader: Volume 3: Collected Fiction,,,,,,
Richard Thieme ,Islands in the Clickstream,y,,,,,
Richard Thieme ,Mind Games,y,,,,,
"Rick Bruner, Leland Harden, and Bob Heyman",NetResults 2.0,y,,,,,
Rick Levine,Cluetrain Manifesto,y,,,,,
Rick Warren,Purpose-Driven Church,y,community,,,,
Rickey Vincent,Funk,,,,,,
Rita Gunther McGrath and Ian MacMillan,The Entrepreneurial Mindset,,,,,,
Roald Dahl,Charlie and the Chocolate Factory,y,,,,,
Roald Dahl,Charlie and The Great Glass Elevator,y,,,,,
Roald Dahl,James and the Giant Peach,y,,,,,
Roald Dahl,The B.F.G.,y,,,,,
Rob Graham,Fishing From a Barrel,y,,,,,
Robbin Phillips,Brains on Fire,y,,,,,
Robbin Phillips,The Passion Conversation,y,,,,,
Robert Caro,Master Of The Senate,y,,,,,
Robert Caro,Means of Ascent,y,,,,,
Robert Caro,The Path to Power,y,,,,,
Robert Caro,The Power Broker,y,,,,,
Robert Charles Wilson,Axis,y,,,,,
Robert Charles Wilson,Spin,y,,,,,
Robert Charles Wilson,Vortex (Spin Book 3),,,,,,
Robert G. Adamson III,Rainhut,y,,,,,
Robert Graves,Claudius the God: And His Wife Messalina,,,,,,
Robert Graves,"I, Claudius: From the Autobiography of Tiberius Claudius",,,,,,
Robert Heinlein,Friday,,,,,,
Robert Heinlein,I Will Fear No Evil,,,,,,
Robert Heinlein,Starship Troopers,y,,,,,
Robert Heinlein,The Cat Who Walks Through Walls,g,,,,,
Robert Heinlein,The Past Through Tomorrow,y,,,,,
Robert Heinlein,The Rolling Stones,g,,,,,
Robert Heinlein,Us For the Living,y,,,,,
Robert Kiyosaki,"Rich Dad, Poor Dad",y,,,,,
Robert Kiyosaki with Sharon Lechter,Cashflow Quadrant,n,,,,,
Robert Kroese,Mercury Falls (Mercury Series Book 1),,,,,,
Robert Kroese,Mercury Revolts: (Book Four of the Mercury Series),,,,,,
Robert Kroese,Mercury Rises (Mercury Series Book 2),,,,,,
Robert Putnam,Better Together,,,,,,
Robert Putnam,Bowling Alone,n,,,,,
Robert Renteria,Mi Barrio (comic),,,,,,
Robert Rose,Managing Content Marketing: The Real-World Guide for Creating Passionate Subscribers to Your Brand,,,,,,
Robert Shea and Robert Anton Wilson,The Illuminatus Trilogy,y,,,,,
Robert Sheckley,The Dimentions of Sheckly,y,,,,,
Robert Sheckley,The Status Civilization,y,,,,,
Robert Sullivan,Rats,,,,,,
Robert Wolcott,Grow From Within,,,,,,
Roberth Newirth,Stealth of Nations,,,,,,
Robery Engelman,"That Was Zen, This Is Wow",,,,,,
Rodd Wagner,12: The Elements of Great Managing,y,,,,,
Roger Fisher and William Ury,Getting To Yes,,,,,,
Rohit Bhargava,"Non-Obvious: How to Think Different, Curate Ideas & Predict..",,,,,,
Rohit Bhargava,Personality Not Included,y,,,,,
Ron Chernow,Alexander Hamilton,y,biography,,,,
Ron Chernow,The House of Morgan: An American Banking Dynasty and the..,,,,,,
Roy Williams,The Wizards of Ads,,,,,,
Rudy Rucker,The Hacker and the Ants,y,,,,,
Ryu Murakami,Almost Transparent Blue,y,,,,,
Ryu Murakami,Coin Locker Babies,y,,,,,
Ryu Murakami,Piercing,y,,,,,
Salman Khan,The One World Schoolhouse,,,,,,
Sam Decker,How to Market With Computer User Groups,y,,,,,
Sam Harris,The Moral Landscape,,,,,,
Sam Lipsyte,The Ask,,,,,,
Sam Lipsythe,Home Land,y,,,,,
Sam Parker and Mac Anderson,212 -  The Extra Degree,y,entrepreneurship,,,,
Sam Parket and Jim Gould,SalesTough,,,,,,
Sam Patterson,Bitcoin Beginner,,,,,,
Sam Walton,Sam Walton: Made In America ,y,,,,,
Samuel Delany,Dhalgren,y,,,,,
Samuel Delany,The Fall of the Towers,,,,,,
Samuel R Delaney,Dahlgren,y,,,,,
Samuel R Delaney,The Fall of the Towers,y,,,,,
Sandy Carter,The New Language of Marketing 2.0,,,,,,
Sarah Silverman,The Bedwetter,y,,,,,
Sarah Vowell,Assassination Vacation,g,,,,,
Scott Adams,All Dressed Down and Nowhere to Go,y,,,,,
Scott Adams,God's Debris,y,,,,,
Scott Adams,When Body Language Goes Bad,y,,,,,
Scott Ambler,Agile for Dummies,,,,,,
Scott Belsky,Making Ideas Happen,y,Productivity,,,,
Scott Ginsberg,Get them to come to you,y,,,,,
Scott Ginsberg,"Hello, My Name is Scott",y,entrepreneurship,,,,
Scott Ginsberg,How To Be That Guy,y,,,,,
Scott Ginsberg,Make a Name For Yourself,y,,,,,
Scott Ginsberg,Stick yourself out there,y,,,,,
Scott Ginsberg,The Approachable Frontline,,,,,,
Scott Ginsberg,The Approachable Manager,,,,,,
Scott Ginsberg,The Approachable Salesperson,,,,,,
Scott Ginsberg,The Power of Approachability,y,,,,,
Scott McCloud,Understanding Comics,y,,,,,
Scott Rosenberg,Say Everything,,,,,,
Sean D'Souza,The Secret Life of Testimonials,y,,,,,
Sean D'Souza,,,,,,,
Sean Moffitt,Wiki Brands,,,,x,,
Sean Steward,Star Wars: Dark Rendezvous,y,,,,,
Selma Lewis,A Biblical People in the Bible Belt,,,,,,
Seth Godin,All Marketers Are Liars,y,,,,,
Seth Godin,Bootstrappers Bible,y,entrepreneurship,,,,
Seth Godin,Free Prize Inside,y,,,,,
Seth Godin,Graceful,,,,,,
Seth Godin,Linchpin,y,hr,,,,
Seth Godin,Meatball Sundae,y,social media,,,,
Seth Godin,Permission Marketing,y,marketing,,,,
Seth Godin,Poke the Box,y,,,,,
Seth Godin,Purple Cow,y,wom,,,,
Seth Godin,Small is the New Big,,,,,,
Seth Godin,Survival is not Enough,y,,,,,
Seth Godin,The Big Moo,y,,,,,
Seth Godin,The Big Red Fez,y,presentations,,,,
Seth Godin,The Dip,y,,,,,
Seth Godin,Tribes,y,community,,,,
Seth Godin,Unleashing the Ideavirus,y,wom,,,,
Seth Godin,We are all Weird,,,,,,
Seth Godin,What To Do When It's Your Turn,,,,,,
Shalom Auslander,Hope: A Tragedy,y,,,,,
Shama Kabani,"The Zen of Social Media Marketing: An Easier Way to Build Credibility, Generate Buzz, and Increase Revenue",,,,,,
Shashi Tharoor,"The Elephant, The Tiger, and the Cell Phone",,,,,,
Shawn Gold,Guide to Laughing at Family,y,,,,,
Sheri Jacobs,199 Powerful Marketing Tactics,y,,,,,
Sheri Jacobs,Powerful Marketing Tactics that Sell,y,marketing,,,,
Sheri Jacobs,The Art of Membership,,,,,,
Sheyl Sandberg,"Lean In: Women, Work, and the Will to Lead",,,,,,
"Sidney Davidson, Clyde Stickney and Roman Weil",Financial Accounting,y,,,,,
Simon Garfield,Just My Type,,,,,,
Simon Sinek,Leaders Eat Last,,,,,,
Simon Sinek,Start with Why: How Great Leaders Inspire Everyone to Take..,,,,,,
Spencer Johnson,The One Minute Father,,,,,,
Spencer Johnson,The One Minute Mother,,,,,,
Stan Cornyn,Exploding,y,,,,,
Stan Davis and Christopher Meyer,Blur: The Speed of Change in the Connected Economy,n,,,,,
Stanislaw Lem,Imaginary Magnitude,y,,,,,
Stanislaw Lem,Tales of Pirx the Pilot,dropped,,,,,
Stanley Bing,Sun Tzu was a Sissy,y,business humor,,,,
Stephanie Diamon,Web Marketing For Small Businesses,,,,,,
Stephen Baxter,Evolution,y,,,,,
Stephen Baxter,Manifold Space,y,,,,,
Stephen Baxter,Manifold Time,y,,,,,
Stephen Baxter,Xeelee,y,,,,,
Stephen Covery,The 7 Habits of Highly Effective People,,,,,,
Stephen Hawking,A Brief History of Time,,,,,,
Stephen M.R. Covey,Smart Trust,,,,,,
Stephen MR Covey,The Speed of Trust,y,WOM,,,,
"Stephen R. Covey, et all",Speaking of Success,,,,,,
Stephen Zades and Jane Stephens,Mad Dogs Dreamers and Sages,,,,,,
Steve Farber,Radical Edge,y,,,,,
Steve Farber,Radical Leap,y,entrepreneurship,,,,
Steve Farber,The Radical Leap Re-Energized,y,,,,,
Steve Jobs,Walter Isaacson,y,,,,,
Steve Krug,Don't Make Me Think,y,web design,,,,
Steve Perry,Star Wars: Shadows of the Empire,y,,,,,
Steve Pressfield,Do The Work,,,,,,
Steven Campbell,Hard Luck Hank: Basketful of Crap,,,,,,
Steven Campbell,Hard Luck Hank: Screw the Galaxy,,,,,,
Steven Covey,The Seven Habits of Highly Effective People,,,,,,
Steven D. Levitt and Stephen J. Dubner,Freakonimics,y,behavioral economics,,,,
Steven Johnson,Emergence,,,,,,
Steven Johnson,Where Good Things Come From,,,,,,
Steven Levy,In The Plex,y,,,,,
Steven Levy,The Perfect Thing,y,business biography,,,,
Steven Little,The Milkshake Moment,y,,,,,
Steven Pinker,Language Instinct,y,,,,,
Stewart Friedman,Total Leadershp,,,,,,
Stieg Larsson,The Girl Who Played with Fire,y,,,,,
Stieg Larsson,The Girl With The Dragon Tattoo,y,,,,,
Stieg Larsson,The Girls Who Kicked the Hornet's Nest,y,,,,,
Strunk and White,Elements of Style,y,,,,,
Stuart Brand,How Buildings Learn,y,,,,,
Stuart Brand,Whole Earth Discipline,y,pragmatic politics,,,,
Sue Ellen Cooper,The Red Hat Society,y,community,,,,
Sun Tzu,The Art of War (comic),,,,,,
Susan Cain,Quiet: The Power of Introverts,,,,,,
Susanna Clarke,Jonathan Strange & Mr. Norrell,y,,,,,
Susanna Gardner,Buzz Marketing With Blogs for Dummies,,,,x,,
"Sutton, Robert I., Rao, Huggy",Scaling Up Excellence: Getting to More Without Settling for Less,y,,,,,
Suzanne Collins,Catching Fire,y,,,,,
Suzanne Collins,Catching Fire,y,,,,,
Suzanne Collins,Hunger Games,y,,,,,
Suzanne Collins,Hunger Games,y,,,,,
Suzanne Collins,Mockingjay,y,,,,,
Suzanne Collins,Mockingjay,y,,,,,
Suzanne Collins,The Hunger Games,y,,,,,
T. Coraghessan Boyle,A Friend of the Earth (2000),y,,,,,
T. Coraghessan Boyle,Budding Prospects (1984),y,,,,,
T. Coraghessan Boyle,Drop City,y,,,,,
T. Coraghessan Boyle,East Is East (1990),,,,,,
T. Coraghessan Boyle,Riven Rock (1998),y,,,,,
T. Coraghessan Boyle,Talk Talk (2006),,,,,,
T. Coraghessan Boyle,The Inner Circle,y,,,,,
T. Coraghessan Boyle,The Road to Wellville (1993),y,,,,,
T. Coraghessan Boyle,The Tortilla Curtain (1995),y,,,,,
T. Coraghessan Boyle,The Women (2009),,,,,,
T. Coraghessan Boyle,Water Music (1982),,,,,,
T. Coraghessan Boyle,World's End (1987),y,,,,,
T.C. Boyle,The Inner Circle,y,,,,,
Ted Nordhaus,Break Through: From the Death of Environmentalism to the Politics of Possibility,y,pragmatic politics,,,,
Tere Tereba,Michey Cohen,y,,,,,
The Disney Institute,Be Our Guest: Revised and Updated Edition: Perfecting the..,y,,,,,
Theodore Sturgeon,More than Human,y,,,,,
Theordore Roosevelt,Quotations of Theodore Roosevelt,,,,,,
Thich Nhat Hanh,The Art of Communicating,,,,,,
Thomas Mann,Magic Mountain,y,,,,,
Thor Muller & Lane Becker,Get Lucky,,,,,,
Tim Brown,Change by Design,,,,,,
Tim LaHaye and Jerry B. Jenkins,Left Behind: A Novel of the Earth's Last Days,y,,,,,
Tim LaHaye and Jerry B. Jenkins,Nicolae: The Rise of Antichrist,y,,,,,
Tim LaHaye and Jerry B. Jenkins,Tribulation Force: The Continuing Drama of Those Left Behind,y,,,,,
Tim Sanders,Love is the Killer App,y,customer love,,,,
Timothy Ferriss,The 4-Hour Work Week,y,productivity,,,,
Timothy L Johnson,"Gust: The ""Tale"" Wind of Office Politics",y,,,,,
Tina Fey,Bossypants,y,,,,,
Tom Bissell,Chasing The Sea,n,,,,,
Tom Hayes and Michael Malone,No Size Fits All,y,,,x,,
Tom Hopkins,How to Master the Art of Selling (comic),,,,,,
Tom Kelley,Ten Faces of Innovation,y,,,,,
Tom Peters,The Pursuit of WOW!,y,customer love,,,,
Tom Rath,Strengthsfinder,y,,,,,
Tom Robbins,Another Roadside Attraction,y,,,,,
Tom Robbins,B Is for Beer,y,,,,,
Tom Robbins,Even Cowgirls Get the Blues,y,,,,,
Tom Robbins,Fierce Invalids Home from Hot Climates,y,,,,,
Tom Robbins,Half Asleep in Frog Pajamas,y,,,,,
Tom Robbins,Jitterbug Perfume,y,,,,,
Tom Robbins,Skinny Legs and All,,,,,,
Tom Robbins,Still Life with Woodpecker,y,,,,,
Tom Robbins,Villa Incognito,y,,,,,
Tom Robbins,Wild Ducks Flying Backward ,,,,,,
Tom Wolfe,Electric Kool Aid Acid Test,y,,,,,
Tony Hsieh,Delivering Happiness,y,corporate culture,,,,
Tony Schwartz,The Way We're Working isn't Working,y,,,,,
Travis Bradberry,Emotional Intelligence 2.0,,,,,,
Tsuift,Step into the spotlight,,,,,,
Umberto Eco,Baudolino,g,,,,,
Umberto Eco,Foucault's Pendulum,y,,,,,
Umberto Eco,The Island of the Day Before,g,,,,,
Umberto Eco,The Name of the Rose,y,,,,,
Ursula K. LeGuin,The Left Hand of Darkness,y,,,,,
US Web and Rick E Bruner,Net Results: Web Marketing that Works,n,,,,,
Vanessa Hall,The Truth About Trust In Business,,,,,,
Verne Harnish,Scaling Up: How a Few Companies Make It...and Why the Rest..,y,,,,,
Vernor Vinge,A Deepness in the Sky,y,,,,,
Vernor Vinge,A Fire Upon the Deep,y,,,,,
Vernor Vinge,Rainbows End,y,,,,,
Veronica Roth,Allegiant,,,,,,
Veronica Roth,Divergent,,,,,,
Veronica Roth,Insurgent,,,,,,
Victoria Jamieson,Roller Girl,y,,,,,
Viktor Frankl,Man's Search for Meaning,,,,,,
Vladamir Nabokov,Lolita,y,,,,,
Walter Kirn,Mission to America,y,,,,,
Walter Kirn,The Unbinding,y,,,,,
Walter Kirn,Thumbsucker,y,,,,,
Walter Kirn,Up In The Air,y,,,,,
Walter Mosley,Devil in a Blue Dress,y,,,,,
Walter Mosley,Fear of the Dark,y,,,,,
Walter Mosley,Fearless Jones,y,,,,,
Walter Mosley,Six Easy Pieces,y,,,,,
Walter Mosley,The Water,y,,,,,
Walter Mosley,The Wave,y,,,,,
Warren Ellis,Crooked Little Vein,,,,,,
Warren Ellis,ELEKTROGRAD: RUSTED BLOOD,,,,,,
Warren Ellis,Gun Machine,,,,,,
Warren Ellis,Planetary (2010-) #1,,,,,,
Warren Ellis,Transmetropolitan,,,,,,
Warren Ellis,Trees,,,,,,
Washington Irving,Tales from the Alhambra,g,,,,,
Wendy Lea,Customer Communities for Dummies,,,,,,
Wendy Lea,Customer-Communities-for-Dummies,,,,,,
Wendy McClure,The Amazing Mackerel Pudding Plan,y,humor,,,,
Wendy Northcutt,The Darwin Awards,y,,,,,
Wesley Chu,The Deaths of Tao (Lives of Tao Book 2),,,,,,
Wesley Chu,The Lives of Tao,,,,,,
Wesley Chu,The Lives of Tao,,,,,,
Wesley Chu,The Rebirths of Tao: Tao Series Book Three (Lives of Tao 3),,,,,,
Wesley Chu,Time Salvager,,,,,,
Will Ferguson,Happiness,y,humor,,,,
Willam Shakespeare,Macbeth,y,,,,,
"William ""Slick"" Hannner",Thief,y,,,,,
William B Laughead,Paul Bunyan,y,,,,,
William B. Laughead,The Marvelous Exploits of Paul Bunyan,,,,,,
William Gibson,All Tomorrow's Parties,y,,,,,
William Gibson,Burning Chrome,y,,,,,
William Gibson,Count Zero,y,,,,,
William Gibson,Idoru,y,,,,,
William Gibson,Mona Lisa Overdrive,y,,,,,
William Gibson,Neuromancer,y,,,,,
William Gibson,Pattern Recognition,y,,,,,
William Gibson,Spook Country,y,,,,,
William Gibson,The Peripheral,,,,,,
William Gibson,Virtual Light,y,,,,,
William Gibson,Zero History,y,,,,,
William Gibson ,Neuromancer,y,,,,,
William Gibson & Bruce Sterling,The Difference Engine,y,,,,,
Wired,Style Guide,n,,,,,
Wolfgang Hohlbein,Children of Magic Moon,y,,,,,
Wolfgang Hohlbein,Magic Moon,y,,,,,
WOMMA,Measuring Word of Mouth,y,,,,,
Yoram (Jerry) Wind & Colin Cook,The Power of Impossible Thinking,n,,,,,
"Yoram (Jerry) Wind, Vijay Mahajan, and Robert E Gunther",Convergence Marketing,n,,,y,,
Zappos.com,Culture Book,,,,,,
Zig Ziglar,Secrets of Closing The Sale,,,,,,
,eBay Community Cookbook,,,,,,
,The Book of Lists,y,,,,,
,The Great Book of Business Secrets,n,,,,,
,We Were There: The WWII Milwakee Jewish Experience,,,,,,
Alan Moore and Dave Gibbons,Watchmen,,,,,,
Wendy Moe & David Schweidel,Social Media Intelligence,,,,,,
Justin Foster,Oatmeal vs. Bacon,,,,,,
Chris Goward,You Should Test That,,,,,,
Steve Werner,The Titan,,,,,,
Ian Greenleigh,The Social Side Door,,,,,,
Matt Blumberg,Startup CEO,,,,,,
Gary Vaynerchunk,"Jab, Jab, Jab Right Hook",,,,,,
Michael Silverman,Capturing Community,,,,,,
Robert Cialdini,Influence,,,,,,
Jessica Hagy,How to be Interesting,,,,,,
Peter Fader,Customer Centricity,,,,,,
Sam Parker,Smile & Move,,,,,,